Kenny Lake	AK	61.62	-144.82
Ketchikan	AK	55.36	-131.67
Kiana	AK	66.97	-160.43
King Cove	AK	55.08	-162.32
King Salmon	AK	58.74	-156.53
Kipnuk	AK	59.94	-164.06
Kivalina	AK	67.73	-164.54
Klawock	AK	55.56	-133.09
Klukwan	AK	59.40	-135.88
Knik River	AK	61.46	-149.01
Knik-Fairview	AK	61.51	-149.62
Kobuk	AK	66.92	-156.90
Kodiak	AK	57.79	-152.42
Kodiak Station	AK	57.77	-152.60
Kokhanok	AK	59.41	-154.75
Koliganek	AK	59.70	-157.22
Kongiganak	AK	59.99	-162.85
Kotlik	AK	63.03	-163.54
Kotzebue	AK	66.88	-162.50
Koyuk	AK	64.94	-161.15
Koyukuk	AK	64.90	-157.69
Kupreanof	AK	56.82	-132.97
Kwethluk	AK	60.79	-161.43
Kwigillingok	AK	59.88	-163.18
Lake Louise	AK	62.30	-146.54
Lake Minchumina	AK	63.79	-152.46
Larsen Bay	AK	57.53	-154.00
Lazy Mountain	AK	61.66	-148.93
Levelock	AK	59.07	-156.90
Lime Village	AK	61.33	-155.24
Livengood	AK	65.48	-148.42
Loring	AK	55.61	-131.64
Lowell Point	AK	60.08	-149.49
Lower Kalskag	AK	61.51	-160.36
Lutak	AK	59.41	-135.59
Manley Hot Springs	AK	65.02	-150.65
Manokotak	AK	58.73	-158.91
Marshall	AK	61.87	-162.06
McCarthy	AK	61.45	-142.86
McGrath	AK	62.94	-155.57
Meadow Lakes	AK	61.64	-149.61
Mekoryuk	AK	60.37	-166.27
Mendeltna	AK	62.15	-146.76
Mentasta Lake	AK	63.01	-143.56
Mertarvik	AK	60.81	-164.50
Metlakatla	AK	55.11	-131.56
Mill Bay	AK	57.82	-152.37
Minto	AK	65.09	-149.59
Moose Creek	AK	64.72	-147.17
Moose Pass	AK	60.51	-149.47
Mosquito Lake	AK	59.48	-136.20
Mountain Village	AK	62.09	-163.70
Mud Bay	AK	59.15	-135.36
Nabesna	AK	62.50	-143.01
Naknek	AK	58.79	-156.89
Nanwalek	AK	59.33	-151.93
Napakiak	AK	60.69	-161.99
Napaskiak	AK	60.70	-161.75
Naukati Bay	AK	55.87	-133.20
Nelchina	AK	62.01	-146.83
